== Title: Sales Figures for company: Sitting Pretty Marketing == 



== Sitting Pretty Marketing: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
| waste king                           |             3 |             54 |              235 |              48 |
| rejuvenate                           |             7 |             53 |              236 |              44 |
| classic accessories                  |             1 |             53 |              237 |              50 |
| everflow supplies                    |             1 |             51 |              238 |              50 |
| weiler                               |             3 |             51 |              239 |              48 |
| dundas jafine                        |             1 |             49 |              240 |              50 |
| haviland                             |             3 |             47 |              241 |              48 |
| simpatico                            |             1 |             47 |              242 |              50 |
| janitized                            |             2 |             46 |              243 |              49 |
| zing green products                  |             4 |             46 |              244 |              47 |
| aiw                                  |             1 |             46 |              245 |              50 |
| steel harbor                         |             2 |             45 |              246 |              49 |
| remco                                |             3 |             45 |              247 |              48 |
| umbra                                |             2 |             44 |              248 |              49 |
| sharkbite                            |             2 |             44 |              249 |              49 |
| malco                                |             2 |             43 |              250 |              49 |
| gila                                 |             1 |             43 |              251 |              50 |
| jed pool tools                       |             3 |             42 |              252 |              48 |
| radiant saunas                       |             3 |             42 |              253 |              48 |
| stanley                              |             3 |             40 |              254 |              48 |
| oxo                                  |             3 |             38 |              255 |              48 |
| blum                                 |             6 |             37 |              256 |              45 |
| dogipot                              |             1 |             37 |              257 |              50 |
| danco                                |             6 |             36 |              258 |              45 |
| stanley hardware                     |             5 |             36 |              259 |              46 |
| shepherd hardware                    |             5 |             36 |              260 |              46 |
| glad                                 |             2 |             35 |              261 |              49 |
| frost king                           |             3 |             34 |              262 |              48 |
| furinno                              |             1 |             32 |              263 |              50 |
| aquarius                             |             3 |             31 |              264 |              48 |
| idh by st. simons                    |             1 |             31 |              265 |              50 |
| action 1                             |             3 |             30 |              266 |              48 |
| rinse ace                            |             2 |             28 |              267 |              49 |
| chef gear                            |             1 |             28 |              268 |              50 |
| wells sinkware                       |             2 |             27 |              269 |              49 |
| hy-ko products                       |             2 |             27 |              270 |              49 |
| duck                                 |             2 |             26 |              271 |              49 |
| w. j. hagerty                        |             3 |             26 |              272 |              48 |
| pavilion gift company                |             2 |             25 |              273 |              49 |
| keeney                               |             3 |             25 |              274 |              48 |
| precious moments                     |             2 |             24 |              275 |              49 |
| heskins llc                          |             3 |             24 |              276 |              48 |
| everclean                            |             2 |             22 |              277 |              49 |
| tovantoe                             |             3 |             22 |              278 |              48 |
| mr. clean                            |             2 |             22 |              279 |              49 |
| fuller brush                         |             3 |             22 |              280 |              48 |
| trimaco                              |             2 |             21 |              281 |              49 |
| swimline                             |             1 |             21 |              282 |              50 |
| the wrap it                          |             1 |             21 |              283 |              50 |
| zwipes professional                  |             1 |             20 |              284 |              50 |
| household essentials                 |             1 |             19 |              285 |              50 |
| starfiber                            |             2 |             19 |              286 |              49 |
| south main hardware                  |             2 |             19 |              287 |              49 |
| powr-flite                           |             1 |             18 |              288 |              50 |
| cs hyde                              |             1 |             18 |              289 |              50 |
| quakehold!                           |             2 |             18 |              290 |              49 |
| borhn                                |             1 |             18 |              290 |              50 |
| eastman                              |             2 |             17 |              291 |              49 |
| incom manufacturing                  |             1 |             17 |              292 |              50 |
| insinkerator                         |             2 |             17 |              293 |              49 |
| belwith products llc                 |             2 |             17 |              294 |              49 |
| o-cedar                              |             2 |             17 |              295 |              49 |
| gorilla                              |             1 |             16 |              296 |              50 |
| safelife                             |             1 |             16 |              297 |              50 |
| national                             |             1 |             15 |              298 |              50 |
| simmons manufacturing                |             2 |             14 |              299 |              49 |
| sandusky                             |             2 |             14 |              300 |              49 |
| genuine joe                          |             1 |             14 |              301 |              50 |
| frogtape                             |             2 |             13 |              302 |              49 |
| lewis hyman                          |             1 |             13 |              303 |              50 |
| cal-royal                            |             3 |             11 |              304 |              48 |
| e-cloth                              |             1 |              9 |              305 |              50 |
| fjm security                         |             1 |              8 |              306 |              50 |
| glory haus                           |             1 |              8 |              307 |              50 |
| tooltron                             |             1 |              8 |              308 |              50 |
| weiman                               |             1 |              7 |              309 |              50 |
| abco                                 |             1 |              6 |              310 |              50 |
| dearborn brass                       |             1 |              4 |              311 |              50 |

