== Title: Sales Figures for company: Sound Wave Marketing == 



== Sound Wave Marketing: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
| kwc faucets                          |             1 |            562 |              109 |              77 |
| pro tapes                            |            62 |            549 |              110 |              38 |
| huntington brass                     |             5 |            547 |              111 |              73 |
| aviditi                              |             6 |            537 |              112 |              72 |
| ispring                              |             6 |            532 |              113 |              72 |
| durable corporation                  |            11 |            527 |              114 |              67 |
| olympia faucets                      |             9 |            514 |              115 |              69 |
| ultraloq                             |             3 |            494 |              116 |              75 |
| dri-eaz                              |             2 |            486 |              117 |              76 |
| kipp                                 |            25 |            469 |              118 |              54 |
| soux chief                           |            10 |            463 |              119 |              68 |
| t&s brass                            |             3 |            445 |              120 |              75 |
| yosemite home decor                  |             6 |            438 |              121 |              72 |
| nuset                                |            12 |            409 |              122 |              66 |
| 3m dual lock                         |             1 |            397 |              123 |              77 |
| peerless                             |             5 |            396 |              124 |              73 |
| allied precision industries          |             5 |            390 |              125 |              73 |
| yale                                 |             1 |            389 |              126 |              77 |
| schlage                              |             6 |            383 |              127 |              72 |
| sofa sack - bean bags                |             3 |            382 |              128 |              75 |
| ez-set                               |            12 |            378 |              129 |              66 |
| slipstick                            |            29 |            370 |              130 |              51 |
| goldenstar                           |             9 |            357 |              131 |              69 |
| the andersen company                 |             8 |            353 |              132 |              70 |
| madison park                         |             2 |            352 |              133 |              76 |
| idhba                                |             8 |            349 |              134 |              70 |
| super sliders                        |            24 |            347 |              135 |              55 |
| seda france                          |            21 |            344 |              136 |              58 |
| premier pet steps                    |             3 |            332 |              137 |              75 |
| scotch                               |             8 |            327 |              138 |              70 |
| teflon                               |             6 |            325 |              139 |              72 |
| impact products                      |             3 |            324 |              140 |              75 |
| selkirk                              |             2 |            316 |              141 |              76 |
| defender security                    |            27 |            313 |              142 |              53 |
| interdesign                          |             9 |            312 |              143 |              69 |
| constructor                          |             9 |            311 |              144 |              69 |
| malish                               |             5 |            311 |              145 |              73 |
| ariel                                |             3 |            297 |              146 |              75 |
| sure-loc                             |             5 |            286 |              147 |              73 |
| ultra                                |             2 |            280 |              148 |              76 |
| maxgrade                             |            31 |            277 |              149 |              50 |
| everflow                             |             4 |            264 |              150 |              74 |
| wilen professional cleaning products |             7 |            263 |              151 |              71 |
| performance tool                     |             9 |            263 |              152 |              69 |
| furinno                              |             8 |            253 |              153 |              70 |
| y decor                              |             2 |            250 |              154 |              76 |
| tosca                                |             2 |            248 |              155 |              76 |
| big joe                              |             2 |            245 |              156 |              76 |
| softtouch                            |            24 |            243 |              157 |              55 |
| ives                                 |             4 |            242 |              158 |              74 |
| weiler                               |            11 |            237 |              159 |              67 |
| heim concept                         |             5 |            234 |              160 |              73 |
| innoseal                             |             2 |            230 |              161 |              76 |
| t.w . evans cordage co.              |             5 |            222 |              162 |              73 |
| builders shoppe                      |             5 |            219 |              163 |              73 |
| danco                                |            46 |            201 |              164 |              43 |
| blue devil                           |             3 |            199 |              165 |              75 |
| johnson pumps                        |             1 |            195 |              166 |              77 |
| enesco                               |             3 |            195 |              167 |              75 |
| speakman                             |             2 |            192 |              168 |              76 |
| cozy sack                            |             1 |            191 |              169 |              77 |
| libman                               |            10 |            189 |              170 |              68 |
| national hardware                    |            22 |            188 |              171 |              57 |
| aqueous                              |             3 |            187 |              172 |              75 |
| topia                                |             3 |            184 |              173 |              75 |
| powr-flite                           |            10 |            183 |              174 |              68 |
| ldr industries                       |             5 |            181 |              175 |              73 |
| ariel bath                           |             2 |            178 |              176 |              76 |
| bissell                              |             6 |            177 |              177 |              72 |
| industrial magnetics                 |             7 |            177 |              178 |              71 |
| perko                                |             3 |            174 |              179 |              75 |
| sagaform                             |             4 |            174 |              180 |              74 |
| segal                                |             2 |            166 |              181 |              76 |
| fusion                               |             9 |            166 |              182 |              69 |
| daweier                              |             2 |            161 |              183 |              76 |
| yale security                        |             5 |            161 |              184 |              73 |
| jaclo                                |             2 |            158 |              185 |              76 |
| honeywell                            |             2 |            157 |              186 |              76 |
| bona                                 |            10 |            154 |              187 |              68 |
| lamp by sugatsune                    |            11 |            153 |              188 |              67 |
| small parts                          |            10 |            152 |              189 |              68 |
| robelle                              |             3 |            151 |              190 |              75 |
| vikan                                |            12 |            150 |              191 |              66 |
| keeney                               |             8 |            148 |              192 |              70 |
| taco                                 |             4 |            145 |              193 |              74 |
| oreck commercial                     |             5 |            144 |              194 |              73 |
| roll products                        |             7 |            143 |              195 |              71 |
| culinary depot                       |             2 |            143 |              196 |              76 |
| ettore                               |            17 |            142 |              197 |              61 |
| rubbermaid                           |             3 |            139 |              198 |              75 |
| advantage                            |             2 |            138 |              199 |              76 |
| leifheit                             |             3 |            135 |              200 |              75 |
| grip tight tools                     |             1 |            130 |              201 |              77 |
| gila                                 |             3 |            129 |              202 |              75 |
| national mfg/spectrum brands hhi     |             9 |            125 |              203 |              69 |
| cramer                               |             2 |            117 |              204 |              76 |
| starfiber                            |            12 |            114 |              205 |              66 |
| tapecase                             |            13 |            112 |              206 |              65 |
| kindred                              |             1 |            111 |              207 |              77 |
| ziploc                               |            10 |            110 |              208 |              68 |
| lenox                                |             1 |            108 |              209 |              77 |
| bobrick                              |             2 |            105 |              210 |              76 |
| lasco                                |             8 |            104 |              211 |              70 |
| everflow supplies                    |             2 |            102 |              212 |              76 |
| zwipes professional                  |             5 |             99 |              213 |              73 |
| sure-loc hardware                    |             1 |             99 |              214 |              77 |
| andersen                             |             3 |             96 |              215 |              75 |
| oxo                                  |             7 |             96 |              216 |              71 |
| cosco                                |             2 |             94 |              217 |              76 |
| simpatico                            |             2 |             93 |              218 |              76 |
| swopt                                |             3 |             92 |              219 |              75 |
| insinkerator                         |             5 |             92 |              220 |              73 |
| accuform                             |            17 |             92 |              221 |              61 |
| draft king                           |             1 |             91 |              222 |              77 |
| chu's packaging supplies             |             1 |             89 |              223 |              77 |
| canplas                              |             1 |             86 |              224 |              77 |
| cs hyde                              |             3 |             85 |              225 |              75 |
| mi-zone                              |             1 |             84 |              226 |              77 |
| watts premier                        |             1 |             82 |              227 |              77 |
| brushtech                            |             6 |             82 |              228 |              72 |
| w. j. hagerty                        |             9 |             80 |              229 |              69 |
| richelieu hardware                   |             7 |             78 |              230 |              71 |
| the copper factory                   |             2 |             77 |              231 |              76 |
| scotchblue                           |             3 |             76 |              232 |              75 |
| jed pool tools                       |             2 |             75 |              233 |              76 |
| shepherd hardware                    |            11 |             74 |              234 |              67 |
| zing green products                  |             6 |             74 |              235 |              72 |
| maxi                                 |             3 |             72 |              236 |              75 |
| hillman                              |             5 |             72 |              237 |              73 |
| don-jo                               |             1 |             71 |              238 |              77 |
| incom manufacturing                  |             4 |             69 |              239 |              74 |
| xtend & climb                        |             2 |             68 |              240 |              76 |
| hefty                                |             4 |             65 |              241 |              74 |
| pemko                                |             4 |             64 |              242 |              74 |
| dallas cowboys                       |             4 |             64 |              243 |              74 |
| momeni rugs                          |             1 |             64 |              244 |              77 |
| faultless                            |             3 |             62 |              245 |              75 |
| idh by st. simons                    |             2 |             62 |              246 |              76 |
| artwall                              |             1 |             61 |              247 |              77 |
| genuine joe                          |             4 |             60 |              248 |              74 |
| haviland                             |             4 |             58 |              249 |              74 |
| unik occasions                       |             2 |             58 |              250 |              76 |
| glad                                 |             3 |             57 |              251 |              75 |
| uhmw tape                            |             2 |             55 |              252 |              76 |
| newlife by gelpro                    |             1 |             55 |              253 |              77 |
| flex tape                            |             1 |             54 |              254 |              77 |
| hy-ko products                       |             4 |             53 |              255 |              74 |
| classic accessories                  |             1 |             53 |              256 |              77 |
| simmons manufacturing                |             7 |             50 |              257 |              71 |
| schalge                              |             1 |             47 |              258 |              77 |
| janitized                            |             2 |             46 |              259 |              76 |
| mr. clean                            |             5 |             45 |              260 |              73 |
| 3drose                               |             2 |             43 |              261 |              76 |
| swimline                             |             2 |             42 |              262 |              76 |
| lola                                 |             2 |             41 |              263 |              76 |
| wells sinkware                       |             3 |             40 |              264 |              75 |
| household essentials                 |             2 |             39 |              265 |              76 |
| global door controls                 |             4 |             38 |              266 |              74 |
| aep industries                       |             1 |             36 |              267 |              77 |
| sandusky                             |             5 |             36 |              268 |              73 |
| borhn                                |             2 |             35 |              269 |              76 |
| weiman                               |             5 |             35 |              270 |              73 |
| frost king                           |             3 |             34 |              271 |              75 |
| gorilla                              |             2 |             33 |              272 |              76 |
| safelife                             |             2 |             31 |              273 |              76 |
| aquarius                             |             3 |             31 |              274 |              75 |
| national                             |             2 |             31 |              275 |              76 |
| rejuvenate                           |             4 |             31 |              276 |              74 |
| rinse ace                            |             2 |             28 |              277 |              76 |
| radiant saunas                       |             2 |             28 |              278 |              76 |
| chef gear                            |             1 |             28 |              279 |              77 |
| keyguard                             |             1 |             28 |              280 |              77 |
| surefit                              |             1 |             27 |              281 |              77 |
| quakehold!                           |             3 |             26 |              282 |              75 |
| lewis hyman                          |             2 |             25 |              283 |              76 |
| umbra                                |             1 |             22 |              284 |              77 |
| sharkbite                            |             1 |             22 |              285 |              77 |
| trimaco                              |             2 |             21 |              286 |              76 |
| south main hardware                  |             2 |             19 |              287 |              76 |
| webstone                             |             2 |             19 |              288 |              76 |
| hardy                                |             1 |             19 |              289 |              77 |
| abco                                 |             3 |             18 |              290 |              75 |
| eastman                              |             2 |             17 |              291 |              76 |
| o-cedar                              |             2 |             17 |              292 |              76 |
| fjm security                         |             2 |             16 |              293 |              76 |
| tooltron                             |             2 |             15 |              294 |              76 |
| remco                                |             1 |             15 |              295 |              77 |
| tovantoe                             |             2 |             15 |              296 |              76 |
| fuller brush                         |             2 |             14 |              297 |              76 |
| perfect company                      |             2 |             14 |              298 |              76 |
| duck                                 |             1 |             13 |              299 |              77 |
| frogtape                             |             2 |             13 |              300 |              76 |
| wright products                      |             1 |             12 |              301 |              77 |
| irwin tools                          |             2 |             11 |              302 |              76 |
| everclean                            |             1 |             11 |              303 |              77 |
| action 1                             |             1 |             10 |              304 |              77 |
| cal-royal                            |             3 |             10 |              305 |              75 |
| e-cloth                              |             1 |              9 |              306 |              77 |
| belwith products llc                 |             1 |              8 |              307 |              77 |
| stanley hardware                     |             1 |              8 |              308 |              77 |
| heskins llc                          |             1 |              8 |              309 |              77 |
| polyvinyl films inc                  |             1 |              8 |              310 |              77 |
| glory haus                           |             1 |              8 |              311 |              77 |
| rt designers collection              |             1 |              6 |              312 |              77 |
| amerock                              |             1 |              5 |              313 |              77 |
| dearborn brass                       |             1 |              4 |              314 |              77 |

